id,user_location,text,user_name,user_followers,id_str,created,retweet_count,polarity,time
1,United States,RT @SexCounseling: How apropos that the Witch is behind the Witch Hunt.,DDbeyork,11806,1252800730026606592,2020-04-22T03:25:44,0,-0.4,2020-04-21T21:25:49.732294
2,Ormond Beach Florida,"RT @_US_Patriot: 1/2 This whole thing was a sham. They couldn’t get him with Russia or the impeachment, so let’s destroy the greatest econo…",A_Chained_Angel,517,1252800730488070144,2020-04-22T03:25:44,0,0.2,2020-04-21T21:25:49.828351
3,United States,RT @mrotzie: I actually want to thank Mike Huckabee. I just finished a training on antisemitism and at the last minute decided to use his t…,cherylisok,3195,1252800731142402048,2020-04-22T03:25:44,0,0.0,2020-04-21T21:25:49.994356
4,Texas Hill Country,"RT @jennobenno: The CDC wants federal &amp; state officials to use the next few months to scale testing capacity.

How do you do that when Trum…",kikibobbi,8828,1252800731503042561,2020-04-22T03:25:44,0,0.0,2020-04-21T21:25:50.091414
5,"Freedom, USA","RT @JohnWHuber: Tweet is false/misleading, as usual
THREAD https://t.co/1bAqCAjtSy",SweetFreedom29,28817,1252800731842859008,2020-04-22T03:25:45,0,-0.25,2020-04-21T21:25:50.158749
6,"Texas, USA",RT @RealSaavedra: Michigan Democrat Governor Gretchen Whitmer (@GovWhitmer) tried to funnel taxpayer-funded coronavirus contracts to Democr…,Deborah31438193,143,1252800731989581825,2020-04-22T03:25:45,0,0.0,2020-04-21T21:25:50.176958
7,Cary/Raleigh NC,"RT @RacerxJax: If this does not frighten you, then nothing will. This is not about 2A. This is not about 1A. This is terrorism. Plain and s…",linda_the_dem,3449,1252800732077740032,2020-04-22T03:25:45,0,-0.21428571428571427,2020-04-21T21:25:50.244582
8,"Arizona, USA","RT @blaze0497: Rush Drops Some Truth On Michelle Obama's Perverted Past, Gotta Love It!

https://t.co/czoMuB1eST",InsolentPatriot,1398,1252800732312395776,2020-04-22T03:25:45,0,0.1875,2020-04-21T21:25:50.261728
9,"North Carolina, USA","RT @proustmalone: I am sympathetic to the ""Vote Biden to save us from Trump's horrid policies"" argument coming from centrist liberals, but…",itselectricboi,587,1252800732459384832,2020-04-22T03:25:45,0,0.5,2020-04-21T21:25:50.301834
10,Ohio,"RT @SelimSeesYou: Was anyone around at the very beginning of the admin &amp; they tried the mess with Trump’s ego ops?

President Bannon. Presi…",_SemiteSmasher,149,1252800732555808769,2020-04-22T03:25:45,0,0.012500000000000011,2020-04-21T21:25:50.317898
11," Alexandria, VA",@Ktbuchh  see?!? This is why I stopped watching Morning Joe.,DeirdreBowdish,68,1252800732438331394,2020-04-22T03:25:45,0,0.0,2020-04-21T21:25:50.320561
12,"Pittsburgh, PA","RT @ddale8: Asked about Georgia opening tattoo parlors, nail salons and other businesses where people have to be close, Trump said, ""Are th…",77Ing77,443,1252800732622991361,2020-04-22T03:25:45,0,-0.125,2020-04-21T21:25:50.328829
13,"California, USA","RT @JoeBiden: The Trump Administration promised 27 million tests by the end of March.

As of now, only 4 million have been completed. It’s…",LinusAlso,157,1252800733285453824,2020-04-22T03:25:45,0,0.0,2020-04-21T21:25:50.492607
14,"Bethpage, NY",Great way to find out the facts first-hand. I kid no one.,kamal_fazal,567,1252800733327568896,2020-04-22T03:25:45,0,0.8,2020-04-21T21:25:50.527702
15,Blue Yonder,"RT @DrGJackBrown: Is this something a loving parent says? NO.
Is this a statement a parent with empathy says? NO.

Donald Trump, ""I look fo…",VavooshStudio,2299,1252800733470011393,2020-04-22T03:25:45,0,0.6,2020-04-21T21:25:50.535163
16,Currently living in Thailand,RT @Thomas1774Paine: Sen. Graham blasts Pelosi: 'She hates Trump to the point of hurting our own nation' https://t.co/78dIoFSLgH,realtime1954,3844,1252800734006919171,2020-04-22T03:25:45,0,0.6,2020-04-21T21:25:50.672553
17,"Ohio, USA",RT @ddiamond: A new analysis found that 11% of veterans with Covid-19 died when they received standard care — but the death rate rose to 28…,NrthbyNrthsbest,540,1252800734137126914,2020-04-22T03:25:45,0,0.24545454545454545,2020-04-21T21:25:50.701662
18,"Kansas, USA","Sure, they get major subsidies and they get to make huge profits, Too. Now, because of a Crisis of #DontheCon🖤 own… https://t.co/7kXqjwC4Sl",gtlang74,3270,1252800733944131584,2020-04-22T03:25:45,0,0.32083333333333336,2020-04-21T21:25:50.709602
