id,user_location,text,user_name,user_followers,id_str,created,retweet_count,polarity,time
1,Quiet place,Niece can’t stand him....,NPeace60,3005,1252800353021681664,2020-04-22T03:24:14,0,0.0,2020-04-21T21:24:19.897607
2,Ohio,"RT @kylegriffin1: Joe Biden: ""For President Trump to say in tonight’s briefing that ramping up testing is not needed and that 'not everybod…",MrCornute,374,1252800353290072066,2020-04-22T03:24:14,0,0.0,2020-04-21T21:24:19.909302
3,"South Carolina, USA",Trump's Support Sinks Into The 30s As Voters Aren't Buying His Coronavirus Propaganda https://t.co/PXmnSKpvPl,Artazen72,193,1252800353252360194,2020-04-22T03:24:14,0,-0.1,2020-04-21T21:24:19.911535
4,"Columbus, OH","RT @AlexandraChalup: It wasn’t “meddling.” The Russian mafia state, run by an ex-KGB tyrant, orchestrated political hybrid warfare against…",adamnewman1,301,1252800353281683456,2020-04-22T03:24:14,0,0.0,2020-04-21T21:24:19.936595
5,"Phoenix, AZ",RT @CBS_Herridge: #FISA During a phone-in radio interview @hughhewitt asked if the Durham investigation into the origins of the FBI 2016 Ru…,prayingmedic,317811,1252800353432563719,2020-04-22T03:24:14,0,0.0,2020-04-21T21:24:19.941942
6,In the Trenches ,"RT @hotchkiss_jon: @Logic_Triumphs 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
NEW VIDEO: A liberal gently explains coronavirus transmission to Trump voters demanding an e…",NCcountrygirl10,1745,1252800353449455616,2020-04-22T03:24:14,0,0.16818181818181818,2020-04-21T21:24:19.944027
7,Anfield - Pepsi Center ,"RT @rronnilynn: Trump said that ""HUNDREDS of Governors are calling him."". We only have 50. Think about that. Take all the time you need.",Wapaa88,312,1252800353579331584,2020-04-22T03:24:14,0,0.0,2020-04-21T21:24:19.950963
8,"Austin, TX",RT @Brasilmagic: How Trump supporters will always be remembered. #MAGAFools https://t.co/CTNXode9qo,fabmissem,1496,1252800354032521216,2020-04-22T03:24:14,0,0.0,2020-04-21T21:24:20.069510
9,"Jacksonville, FL","RT @kurteichenwald: More people died of COVID in America today than in every Western European country combined.

More Americans died of COV…",AJinJax,580,1252800354288381952,2020-04-22T03:24:15,0,0.25,2020-04-21T21:24:20.128140
10,"Monterey, CA","RT @thehill: President Trump: ""I want Harvard to pay the money back, okay? If they won't do that, then we won't do something else."" https:/…",ODLTXX,61,1252800354321760259,2020-04-22T03:24:15,0,0.25,2020-04-21T21:24:20.140404
